City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
481,Aswan,EG,82.06,overcast clouds,24.09,32.91,Nuba Nile
485,Yibin,CN,60.1,overcast clouds,28.77,104.62,Handsome Guesthouse
486,Harper,LR,77.25,overcast clouds,4.38,-7.72,Screensaver
487,Porbandar,IN,76.21,few clouds,21.64,69.61,Lords Inn Porbandar
490,West Bay,KY,83.07,scattered clouds,19.37,-81.42,Calypso Cove
494,Bambanglipuro,ID,80.04,overcast clouds,-7.95,110.28,Puri Brata
496,Guane,CU,74.07,few clouds,22.2,-84.09,base de Campismo LosPortales de Guane
498,Boa Vista,BR,85.98,few clouds,2.82,-60.67,Aipana Plaza Hotel
499,Santiago Del Estero,AR,89.01,scattered clouds,-27.8,-64.26,Apartamentos Castelli 90
500,Ugoofaaru,MV,81.19,few clouds,5.67,73.0,Ungoofaaru Inn
501,Amahai,ID,81.37,overcast clouds,-3.33,128.92,HOTEL ISABELA
505,Salinas,US,67.23,overcast clouds,36.68,-121.66,Laurel Inn & Conference Center
508,Maragogi,BR,77.36,clear sky,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
509,Port Macquarie,AU,69.76,overcast clouds,-31.43,152.92,Rydges Port Macquarie
511,Ngaoundere,CM,67.96,overcast clouds,7.32,13.58,Hotel Mentong Palace
512,Bilma,NE,79.23,scattered clouds,18.69,12.92,Expeditions Ténére voyages
516,Kigoma,TZ,76.51,broken clouds,-4.88,29.63,MJI Mwema Lodge
519,Nova Olimpia,BR,77.07,overcast clouds,-14.8,-57.29,Motel glamour
521,Hirado,JP,63.75,clear sky,33.36,129.55,Samson Hotel
522,Pepel,SL,75.13,overcast clouds,8.58,-13.06,Kingho Railway and Port
525,Pisco,PE,62.65,few clouds,-13.7,-76.22,Hotel San Isidro Oficial
526,Fraga,ES,60.57,overcast clouds,41.52,0.35,Hotel Casanova
528,Sao Sebastiao Do Paraiso,BR,63.48,light rain,-20.92,-46.99,BM Hotel
529,La Quinta,US,89.73,clear sky,33.66,-116.31,Embassy Suites by Hilton La Quinta Hotel & Spa
